bgTcp,nNodes,nFlows,pps,txRange,areaScale,areaSide,throughputMbps,avgDelay,deliveryRatio,dropRatio,energyConsumedJ
westwood,20,10,100,10,2,20,0.157387,0.213268,0.735414,0.177748,14.5515
westwood,40,10,100,10,2,20,0.152004,0.164723,0.743448,0.169655,28.9711
westwood,60,10,100,10,2,20,0.209592,0.195248,0.793007,0.134266,43.6411
westwood,80,10,100,10,2,20,0.164268,0.203142,0.756914,0.133916,54.1781
westwood,100,10,100,10,2,20,0.159591,0.269448,0.780741,0.124444,68.6453
imtcpbg,20,10,100,10,2,20,0.157387,0.213268,0.735414,0.177748,14.5515
imtcpbg,40,10,100,10,2,20,0.152004,0.164723,0.743448,0.169655,28.9711
imtcpbg,60,10,100,10,2,20,0.209592,0.195248,0.793007,0.134266,43.6411
imtcpbg,80,10,100,10,2,20,0.164268,0.203142,0.756914,0.133916,54.1781
imtcpbg,100,10,100,10,2,20,0.159591,0.269448,0.780741,0.124444,68.6453
imtcpbgimproved,20,10,100,10,2,20,0.157387,0.213268,0.735414,0.177748,14.5515
imtcpbgimproved,40,10,100,10,2,20,0.152004,0.164723,0.743448,0.169655,28.9711
imtcpbgimproved,60,10,100,10,2,20,0.209592,0.195248,0.793007,0.134266,43.6411
imtcpbgimproved,80,10,100,10,2,20,0.164268,0.203142,0.756914,0.133916,54.1781
imtcpbgimproved,100,10,100,10,2,20,0.159591,0.269448,0.780741,0.124444,68.6453
